BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,LOW,HIGH,CLOSE,LEGALCLOSEPRICE,ACCINT,WAPRICE,YIELDCLOSE,OPEN,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,MATDATE,DURATION,YIELDATWAP,IRICPICLOSE,BEICLOSE,COUPONPERCENT,COUPONVALUE,BUYBACKDATE,LASTTRADEDATE,FACEVALUE,CURRENCYID,CBRCLOSE,YIELDTOOFFER,YIELDLASTCOUPON,OFFERDATE,FACEUNIT,TRADINGSESSION
TQCB,2023-03-31,РостелБО-1,RU000A0JVFC6,13.0,84493.1,90.02,97.93,97.2,97.2,27.33,97.12,8.68,90.02,87.0,,97.37,,0.0,658242.5,,2025-05-16,715.0,8.72,,,7.5,37.4,,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,ТрансФБО39,RU000A0JVHH1,2.0,1925.6,96.26,96.3,96.26,96.26,26.55,96.28,10.73,96.3,2.0,,95.09,,0.0,513459.8,,2025-06-04,723.0,10.72,,,8.5,42.38,,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,Оренб35003,RU000A0JVM81,50.0,103497.3,106.12,106.7,106.12,106.2,19.56,106.48,8.97,106.53,162.0,,106.35,,0.0,530894.22,,2025-07-03,416.0,8.65,,,14.0,20.94,,2023-03-31,600.0,SUR,,,,,RUB,3
TQCB,2023-03-31,РСХБ 24,RU000A0JVN56,5.0,8990.2,99.55,99.99,99.98,99.98,19.2,99.89,10.02,99.56,9.0,,99.64,,0.0,557980.9,,2025-07-11,14.0,13.3,,,9.1,22.69,2023-04-14,2023-03-31,1000.0,SUR,,,,,RUB,3
TQIR,2023-03-31,ПропфинБО1,RU000A0JVUB7,1.0,1095.8,54.79,54.79,54.79,54.79,0.0,54.79,70.39,54.79,2.0,,,,0.0,0.0,,2024-09-27,525.0,70.39,,,6.0,29.92,,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,СистемБ1P1,RU000A0JVUK8,113.0,4217080.7,100.0,100.11,100.11,100.11,82.9,100.1,9.01,100.0,4213.0,100.1,100.1,,4217080.7,4217080.7,,2025-09-30,172.0,9.03,,,17.0,84.77,2023-10-03,2023-03-31,1000.0,SUR,,8.7059,,2023-10-06,RUB,3
TQCB,2023-03-31,РЕСОЛизБ03,RU000A0JVUS1,1.0,1350.0,135.0,135.0,135.0,135.0,52.74,135.0,-9.7,135.0,1.0,,,,0.0,0.0,,2025-10-03,509.0,-9.7,,,11.0,54.85,2024-10-04,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,РЖД БО-02,RU000A0JVW71,2.0,10099.5,100.99,101.0,101.0,101.0,40.83,101.0,7.41,100.99,10.0,,101.02,,0.0,567736.9,,2025-10-16,194.0,7.41,,,9.2,45.87,2023-10-19,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,ГТЛК БО-05,RU000A0JVWD9,9.0,662966.4,100.0,100.65,100.65,100.65,21.1,100.3,10.12,100.35,661.0,100.3,100.3,,674020.3,663973.3,,2025-10-17,196.0,10.83,,,11.0,27.42,2023-10-20,2023-03-31,1000.0,SUR,,9.7156,,2023-10-25,RUB,3
TQCB,2023-03-31,ГТЛК БО-06,RU000A0JVWJ6,47.0,432496.6,102.1,102.61,102.24,102.24,21.37,102.25,11.05,102.6,423.0,,102.32,,0.0,526949.1,,2025-10-20,806.0,11.05,,,11.64,29.02,,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,ПКТ 01,RU000A0JW0S4,10.0,19535.0,88.75,89.05,89.05,89.05,14.79,88.8,9.96,88.76,22.0,,88.85,,0.0,533080.4,,2025-12-09,915.0,10.08,,,5.0,24.93,,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,ТомскОб 55,RU000A0JW1K9,11.0,6313.48,100.81,101.24,101.1,100.96,0.75,101.02,4.7,101.16,25.0,,101.04,,0.0,509998.29,,2023-06-19,80.0,5.09,,,9.9,6.17,,2023-03-31,250.0,SUR,,,4.442,,RUB,3
TQCB,2023-03-31,ГТЛК БО-07,RU000A0JW1P8,13.0,408194.6,101.57,101.85,101.85,101.85,3.01,101.79,10.58,101.6,401.0,,101.8,,0.0,541549.4,,2025-12-16,869.0,10.61,,,10.98,27.37,,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,ПКТ 02,RU000A0JW5E3,3.0,2247.1,74.6,75.5,74.61,74.61,0.01,74.9,10.84,75.5,3.0,75.43,75.43,,3779634.0,3775136.5,,2026-02-06,1043.0,10.69,,,0.01,0.05,,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,ПКТ 03,RU000A0JWBP5,6.0,76209.9,89.3,91.38,89.3,89.62,1.6,89.66,11.11,91.38,85.0,90.11,90.11,,4210014.2,4210014.2,,2026-03-18,995.0,10.95,,,6.5,32.41,,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,РЖД БО-07,RU000A0JWC82,14.0,23651.3,98.01,100.0,99.89,98.71,0.42,98.55,7.94,100.0,24.0,,99.97,,0.0,501839.3,,2026-03-25,993.0,8.48,,,7.75,38.64,,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,ОДК 02,RU000A0JWDA3,7.0,110055.0,100.05,100.05,100.05,100.05,42.67,100.05,7.42,100.05,110.0,,100.05,,0.0,509244.7,,2023-04-17,17.0,7.42,,,8.8,46.77,,2023-03-31,1000.0,SUR,,,5.9029,,RUB,3
TQCB,2023-03-31,РУСАЛБрБ01,RU000A0JWDN6,9.0,26104.9,74.51,74.76,74.76,74.76,0.05,74.59,10.15,74.53,35.0,,74.18,,0.0,557841.3,,2026-04-07,1103.0,10.23,,,0.01,0.05,,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,БашнфтБО8,RU000A0JWGD0,21.0,162530.7,103.56,105.48,105.48,104.91,44.5,104.86,8.14,104.29,155.0,,104.3,,0.0,511046.2,,2026-04-29,675.0,8.47,,,10.9,54.35,2025-04-30,2023-03-31,1000.0,SUR,,8.0318,,2025-05-07,RUB,3
TQCB,2023-03-31,ПочтаРосБ2,RU000A0JWGV2,3.0,6377.1,105.0,106.93,106.93,106.93,44.42,106.29,9.08,106.92,6.0,,107.94,,0.0,500861.8,,2026-05-07,951.0,9.32,,,11.5,57.34,,2023-03-31,1000.0,SUR,,,,,RUB,3
TQOD,2023-03-31,RUS-26,RU000A0JWHA4,1.0,195000.0,97.5,97.5,97.5,97.5,3245.8333,98.1429,5.62,97.5,1.0,97.2997,97.5667,,493780753.14,179332456.16,,2026-05-27,,5.39,,,4.75,4750.0,,2023-03-31,200000.0,USD,,,,,USD,3
TQCB,2023-03-31,ЯрОбл 2016,RU000A0JWHN7,9.0,22243.5,100.33,102.34,100.47,100.47,2.3,102.03,6.33,102.33,109.0,,101.03,,0.0,504357.88,,2023-05-19,49.0,-5.77,,,10.0,4.99,,2023-03-31,200.0,SUR,,,5.786,,RUB,3
TQCB,2023-03-31,ОДК 01,RU000A0JWK74,16.0,76672.3,102.05,104.89,104.0,104.0,35.05,103.61,9.48,103.75,74.0,,102.76,,0.0,537428.9,,2026-06-10,989.0,9.62,,,10.75,53.6,,2023-03-31,1000.0,SUR,,,,,RUB,3
TQCB,2023-03-31,ТрнфБО1P1,RU000A0JWK90,10.0,83356.5,100.4,100.64,100.4,100.4,32.28,100.43,7.42,100.64,83.0,,100.52,,0.0,674513.3,,2023-06-02,63.0,7.23,,,9.9,49.36,,2023-03-31,1000.0,SUR,,,6.8546,,RUB,3
