BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION
TQBR,2023-03-10,Электрцинк,ELTZ,199.0,1072649.0,368.5,360.0,368.5,365.0,363.0,365.0,2953.0,363.0,363.0,,1072649.0,1072649.0,,0.0,3
TQBR,2023-03-10,ЭН+ГРУП ао,ENPG,3273.0,49744699.5,404.0,400.0,406.0,405.0,403.0,402.5,123405.0,403.5,403.5,,42646457.5,42646457.5,,0.0,3
SMAL,2023-03-10,ЭЛ5Энер ао,ENRU,5.0,5.37,0.5312,0.5312,0.5402,,0.5292,0.5402,10.0,,,,0.0,0.0,,0.0,3
TQBR,2023-03-10,ЭЛ5Энер ао,ENRU,2997.0,40508806.4,0.5062,0.5062,0.54,0.5286,0.5292,0.5286,76561000.0,0.5292,0.5292,,40508806.4,40508806.4,,0.0,3
TQTF,2023-03-10,EQMX ETF,EQMX,3150.0,18146143.0,96.3,95.95,96.7,96.3,96.35,96.15,188318.0,96.35,96.35,,16869446.75,16869446.75,,23240391.47,3
TQTF,2023-03-10,ESGE ETF,ESGE,185.0,352375.92,69.37,69.23,69.79,69.42,69.38,69.41,5079.0,,69.51,,0.0,500639.49,,496568.47,3
TQTF,2023-03-10,ESGR ETF,ESGR,11.0,33305.0,1012.0,1005.5,1014.0,1012.0,1009.0,1012.0,33.0,,1011.0,,0.0,500465.0,,116611.64,3
TQBR,2023-03-10,ETLN-гдр,ETLN,3088.0,7076261.68,53.36,52.0,53.46,52.96,53.04,52.96,133431.0,53.04,53.04,,7076261.68,7076261.68,,0.0,3
SMAL,2023-03-10,Россети,FEES,25.0,25.53,0.09196,0.09196,0.0999,,0.09174,0.0999,263.0,,,,0.0,0.0,,0.0,3
TQBR,2023-03-10,Россети,FEES,5201.0,96481714.2,0.09198,0.09036,0.0928,0.09242,0.09174,0.0918,1051680000.0,0.09172,0.09172,,77509024.2,77509024.2,,0.0,3
TQBR,2023-03-10,ДВМП ао,FESH,2049.0,45354997.0,34.81,34.47,35.0,34.67,34.76,34.58,1304800.0,34.78,34.78,,40771465.0,40771465.0,,0.0,3
TQBR,2023-03-10,FIVE-гдр,FIVE,4289.0,68546146.0,1502.0,1490.0,1508.0,1499.5,1496.5,1497.5,45797.0,1496.5,1496.5,,59820891.5,59820891.5,,0.0,3
TQBR,2023-03-10,FIXP-гдр,FIXP,2957.0,9057662.2,350.3,350.0,351.6,350.9,350.5,350.4,25839.0,350.6,350.6,,7401878.0,7401878.0,,0.0,3
SMAL,2023-03-10,Совкомфлот,FLOT,1.0,58.2,58.2,58.2,58.2,,57.75,58.2,1.0,,,,0.0,0.0,,0.0,3
TQBR,2023-03-10,Совкомфлот,FLOT,22740.0,663672441.3,57.51,56.9,58.65,57.77,57.75,57.86,11491840.0,57.76,57.76,,616017807.9,616017807.9,,0.0,3
TQTF,2023-03-10,FMRU ETF,FMRU,128.0,38947.13,7.06,6.994,7.06,7.02,7.024,7.02,5545.0,,7.098,,0.0,744341.34,,194328.98,3
TQTF,2023-03-10,FMUS ETF,FMUS,60.0,62244.09,11.405,11.15,11.405,11.195,11.205,11.25,5555.0,,11.385,,0.0,547617.7,,71302.49,3
